55	90	35
69	23	67
27	31	38
39	84	98
77	32	45
96	94	95
94	76	81
38	10	53
12	96	90
87	42	33
81	41	94
97	50	20
69	87	56
80	71	60
69	84	56
43	70	97
35	35	28
94	29	78
82	43	35
62	22	73
38	34	25
74	66	26
37	53	34
76	16	93
61	51	67
10	42	59
27	46	42
99	63	50
19	16	43
40	47	25
28	52	14
14	56	72
56	56	23
85	61	38
16	21	10
70	81	23
53	69	45
66	18	79
97	28	47
80	37	18
34	20	69
47	37	28
91	28	48
48	76	36
89	83	84
52	18	78
22	74	10
39	46	18
45	92	88
55	38	20
60	48	29
79	77	12
29	94	81
51	35	89
65	38	62
55	23	35
22	20	32
15	10	25
64	51	36
31	25	33
75	85	11
60	42	10
45	65	33
61	28	17
66	56	96
15	40	77
58	49	55
48	53	62
48	39	48
59	21	43
75	21	82
18	12	13
85	72	21
49	61	30
15	50	28
64	70	39
43	98	88
68	13	31
86	92	74
56	54	24
54	94	99
67	51	81
43	45	34
83	54	11
77	29	55
90	59	56
53	95	41
71	24	81
42	79	74
90	79	20
61	42	51
71	43	60
37	18	45
58	79	80
46	46	46
59	24	98
20	67	63
90	95	46
70	27	81
84	64	94
56	60	90
36	41	59
16	29	10
95	11	99
13	23	19
32	56	41
75	75	12
42	57	91
22	34	64
62	40	54
41	97	91
17	53	78
52	36	38
12	11	98
72	90	85
27	96	10
15	79	33
51	22	63
85	38	78
72	72	98
57	27	52
11	10	76
90	22	68
45	85	39
34	39	20
16	69	84
38	49	70
66	41	38
78	80	11
88	10	80
35	24	81
25	20	64
86	42	56
50	86	32
13	97	91
26	17	89
86	27	38
37	53	58
19	52	74
16	50	37
67	28	57
57	72	42
60	15	91
60	80	73
92	42	73
45	72	51
59	34	71
55	54	32
59	15	34
93	26	28
66	51	58
50	11	76
52	48	98
89	23	38
40	10	49
26	69	23
19	61	48
67	77	94
69	69	69
34	53	98
45	73	41
67	53	76
49	19	73
46	32	48
14	16	25
80	73	26
12	35	73
74	49	51
90	83	21
10	40	22
56	30	59
24	79	27
87	91	70
35	29	71
88	27	83
30	29	43
92	82	74
70	43	88
21	98	13
20	30	94
39	69	22
50	91	39
65	31	20
11	37	52
90	45	45
99	15	63
55	74	71
50	56	34
64	55	72
71	48	88
87	16	43
63	57	22
38	16	44
80	83	72
33	98	65
59	33	54
28	21	16
62	40	40
11	17	21
76	76	67
71	73	17
58	87	26
39	55	40
28	26	41
32	85	30
29	54	17
54	60	51
33	82	42
86	23	92
91	76	18
62	91	36
93	67	10
29	90	23
42	67	25
66	45	36
70	47	91
15	20	53
55	38	41
42	51	76
95	72	48
63	34	70
72	75	47
57	57	45
50	79	57
28	46	98
97	30	54
23	24	19
60	67	16
80	85	81
47	24	28
70	66	63
12	12	51
75	94	95
39	70	88
67	34	35
33	20	35
80	59	67
78	57	88
54	58	90
39	93	52
45	13	38
71	56	42
18	90	92
30	46	83
79	86	87
53	38	28
16	61	97
56	12	49
93	52	46
93	95	69
63	83	14
79	89	76
36	67	84
18	36	55
25	98	64
99	30	98
13	89	60
77	17	79
46	39	77
31	52	89
98	17	18
65	39	38
74	24	57
26	11	51
44	17	69
35	71	87
70	81	84
54	17	73
37	86	47
84	89	26
35	27	73
40	64	78
73	73	70
83	88	39
96	45	97
72	89	59
19	59	98
78	70	85
21	40	89
63	56	65
75	88	24
54	84	53
53	11	41
79	47	67
75	87	12
38	71	32
26	99	96
93	16	27
49	61	92
50	44	25
48	86	24
90	29	50
20	52	93
22	86	49
90	39	68
93	94	24
30	50	86
62	99	37
62	50	98
69	45	49
86	93	56
94	44	32
62	22	24
78	57	60
86	37	35
19	13	82
56	76	89
41	83	98
65	81	59
72	15	81
38	54	57
65	61	98
27	81	73
89	97	64
23	22	62
86	48	62
27	85	18
49	57	36
93	48	56
41	53	76
24	59	15
67	36	49
56	86	58
67	76	48
89	86	98
71	32	77
72	73	81
77	14	44
92	78	38
38	27	73
